model,f1-score,dataset
gemma3,0.9666329625884732,creditscore
gpt-oss,0.9666329625884732,creditscore
mistral,0.9666329625884732,creditscore
qwen3,0.9666329625884732,creditscore
rt,0.9666329625884732,creditscore
rf-s,0.9666329625884732,creditscore
rf-ss,0.9666329625884732,creditscore
et-s,0.9666329625884732,creditscore
et-ss,0.9666329625884732,creditscore
xgb-s,0.9666329625884732,creditscore
xgb-ss,0.9666329625884732,creditscore
baseline,0.9666329625884732,creditscore
gemma3,0.9093406593406593,creditscore
gpt-oss,1.0,creditscore
mistral,1.0,creditscore
qwen3,1.0,creditscore
rt,0.9568627450980391,creditscore
rf-s,1.0,creditscore
rf-ss,1.0,creditscore
et-s,1.0,creditscore
et-ss,1.0,creditscore
xgb-s,1.0,creditscore
xgb-ss,1.0,creditscore
baseline,1.0,creditscore
gemma3,1.0,creditscore
gpt-oss,1.0,creditscore
mistral,1.0,creditscore
qwen3,1.0,creditscore
rt,1.0,creditscore
rf-s,1.0,creditscore
rf-ss,1.0,creditscore
et-s,1.0,creditscore
et-ss,1.0,creditscore
xgb-s,1.0,creditscore
xgb-ss,1.0,creditscore
baseline,1.0,creditscore
gemma3,1.0,creditscore
gpt-oss,1.0,creditscore
mistral,1.0,creditscore
qwen3,1.0,creditscore
rt,1.0,creditscore
rf-s,1.0,creditscore
rf-ss,1.0,creditscore
et-s,1.0,creditscore
et-ss,1.0,creditscore
xgb-s,1.0,creditscore
xgb-ss,1.0,creditscore
baseline,1.0,creditscore
gemma3,0.935672514619883,creditscore
gpt-oss,0.935672514619883,creditscore
mistral,0.935672514619883,creditscore
qwen3,0.935672514619883,creditscore
rt,0.935672514619883,creditscore
rf-s,0.935672514619883,creditscore
rf-ss,0.935672514619883,creditscore
et-s,0.935672514619883,creditscore
et-ss,0.935672514619883,creditscore
xgb-s,0.935672514619883,creditscore
xgb-ss,0.935672514619883,creditscore
baseline,0.935672514619883,creditscore
